RESULT
[0.0006046951566286285, 0.4041216796616192, 0.00012710337333912285, 0.13680556413931602, 0.8597136469333639, 0.04077816616688843]	[0, 0, 0, 0, 1, 0]
[0.0008622948776067591, 0.2519781976675061, 9.679441555269437e-05, 0.16300281116066279, 0.9137149329120255, 0.038885646716051214]	[0, 0, 0, 0, 1, 0]
[0.001517168102995156, 0.8633661574970893, 0.0003545132162697027, 0.053549281633771345, 0.16738340895454187, 0.03723003785804848]	[0, 0, 0, 0, 1, 0]
[0.0010290737805687582, 0.814720885041488, 0.0004908966862570092, 0.0630733784607214, 0.21764493388103792, 0.04057101679618275]	[0, 0, 0, 1, 0, 0]
[0.0009866576798586305, 0.828341234762047, 0.0005462983907390994, 0.06112990412421626, 0.19547773638220828, 0.04104495585163605]	[0, 0, 0, 1, 0, 0]
[0.02685058010569086, 0.17241575357095631, 0.290370752510204, 0.06420729288347203, 0.001124304152307221, 0.0515054359903298]	[0, 0, 1, 0, 0, 0]
[0.010687562474432765, 0.08597363583517861, 0.8816791837838169, 0.08007552681860883, 0.0003957780276973965, 0.07482449029076219]	[0, 0, 1, 0, 0, 0]
[0.009250136656619076, 0.285871570823528, 0.006048304102107481, 0.08193967102045067, 0.04652275247183818, 0.040721174475243524]	[0, 0, 1, 0, 0, 0]
[0.001207468488880069, 0.8497162161150499, 0.00017848541681571493, 0.06050183487972911, 0.3169191124631659, 0.03627079588173002]	[0, 1, 0, 0, 0, 0]
[0.0016171647270375189, 0.9850592045547903, 0.00040684219193853454, 0.023492987711879798, 0.02334952751884586, 0.03498522386422161]	[0, 1, 0, 0, 0, 0]
[0.0017955638712679706, 0.8505032236718069, 0.00022425920659359166, 0.055652925501539205, 0.2206912082822417, 0.03517683545046198]	[0, 1, 0, 0, 0, 0]
[0.01036967404406346, 0.32582458484325416, 0.0008622640167906825, 0.08609387977974699, 0.16262070443077487, 0.033876712990572995]	[1, 0, 0, 0, 0, 0]
[0.2613711149776725, 0.175756495856698, 0.0013870210077907702, 0.06148687864538794, 0.0181309706200656, 0.023166854397295256]	[1, 0, 0, 0, 0, 0]
[0.09622629396202675, 0.14181737859850801, 0.000929739106855412, 0.08360266998004741, 0.0729121058968478, 0.026251864645840863]	[1, 0, 0, 0, 0, 0]
[0.005348654478538277, 0.8489629574717864, 0.0009075855898217956, 0.04224608073130757, 0.03775262794999249, 0.03452304348680115]	[0, 0, 1, 0, 0, 0]
[0.0009930236922448946, 0.8123628080679431, 0.007473787241012362, 0.05295087382339802, 0.028967986719152794, 0.05119117845574422]	[0, 1, 0, 0, 0, 0]
[0.0059224606881738764, 0.9296187255075438, 0.0005462244881392109, 0.03210264662461285, 0.026373743346441648, 0.03187438202418508]	[0, 0, 1, 0, 0, 0]
[0.2018350285158153, 0.8542166882245437, 0.0002361436507201561, 0.023742790932631513, 0.006410552806552046, 0.01890413414318351]	[0, 1, 0, 0, 0, 0]
[0.046451092196722686, 0.6532224369772027, 0.00021356244718119354, 0.04672520923702473, 0.058897042513497706, 0.023858648980641058]	[0, 1, 0, 0, 0, 0]
